Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nCPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nCPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific pTPM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cutaneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
CSF3R,"CD114, GCSFR",ENSG00000119535,Colony stimulating factor 3 receptor,Q99062,1,36466043-36483278,"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Cell adhesion,Receptor,"Cancer-related genes, Disease variant, FDA approved drug targets",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,bone marrow: 183.7;lung: 134.4;lymphoid tissue: 375.3,Group enriched,Detected in many,5,Neutrophils: 6775.9;Syncytiotrophoblasts: 3282.6,Cell type enriched,Detected in some,13,central nervous system macrophage: 410.8,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enriched,Detected in many,7,neutrophil: 1924.2,Lineage enriched,Detected in many,7,granulocytes: 1924.2,Cancer enriched,Detected in some,25,Leukemia: 32.2,"Adipose subcutaneous - Macrophages, Adipose visceral - Neutrophils, Colon - Neutrophils, Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophils_2, Skeletal muscle - Neutrophils, Spleen - Neutrophils_2, Stomach - Neutrophils, Thyroid gland - Neutrophils",Low region specificity,Detected in many,,,Low region specificity,Detected in many,,,"CAB017116, HPA048086",Enhanced,,,,Intracellular and membrane,Receptor,NA,NA,,,Cluster 21: Neutrophils - Unknown function,Cluster 66: Lymphoid tissue - Immune response,Cluster 12: Non-specific - Vasculature,Cluster 14: Myeloid leukemia - Innate immune response,Cluster 24: Neutrophils - Innate immunity signal integration,7,,,"CAB017116: , HPA048086: ",unprognostic (1.05e-1),unprognostic (2.86e-2),unprognostic (5.36e-2),unprognostic (1.70e-1),unprognostic (2.94e-1),unprognostic (5.81e-2),unprognostic (4.44e-2),unprognostic (1.40e-1),unprognostic (7.95e-2),unprognostic (3.25e-1),unprognostic (4.07e-2),unprognostic (5.05e-2),unprognostic (1.61e-2),unprognostic (1.07e-2),unprognostic (1.13e-3),unprognostic (2.58e-2),unprognostic (8.72e-2),unprognostic (8.56e-3),unprognostic (1.96e-1),unprognostic (3.69e-2),unprognostic (1.26e-1),unprognostic (5.83e-2),unprognostic (3.81e-2),unprognostic (3.66e-1),unprognostic (1.42e-1),unprognostic (1.34e-1),unprognostic (2.44e-2),unprognostic (7.89e-2),potential prognostic unfavorable (2.26e-4),unprognostic (1.90e-1),unprognostic (2.79e-1)
CTCF,"CFAP108, FAP108",ENSG00000102974,CCCTC-binding factor,P49711,16,67562467-67639177,"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Transcription factors","Chromosome partition, Transcription, Transcription regulation","Activator, Chromatin regulator, DNA-binding, Repressor","Cancer-related genes, Disease variant, Intellectual disability, Tumor suppressor",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Testis - Spermatogonia,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA004122, CAB062550, CAB068181, CAB068182",Supported,,Supported,Nucleoplasm,,,NA,NA,,5100,Cluster 41: Basophils - Unknown function,Cluster 80: Thymus - Adaptive immune response,Cluster 34: Non-specific - Mixed function,Cluster 68: Non-specific - Cell cycle regulation,Cluster 66: Erythroid cells - Erythroid differentiation and maturation,301,Nucleoplasm,,"CAB062550: , CAB068181: , CAB068182: , HPA004122: ",unprognostic (5.70e-2),unprognostic (7.96e-2),unprognostic (3.34e-1),unprognostic (3.01e-1),unprognostic (1.82e-1),unprognostic (5.24e-2),unprognostic (7.98e-2),unprognostic (9.54e-3),unprognostic (7.74e-2),unprognostic (2.73e-1),potential prognostic favorable (9.67e-8),unprognostic (1.75e-3),unprognostic (2.53e-1),unprognostic (1.54e-3),unprognostic (1.08e-1),unprognostic (9.95e-2),unprognostic (1.51e-3),unprognostic (4.92e-2),unprognostic (5.01e-2),unprognostic (1.87e-1),unprognostic (4.08e-2),unprognostic (1.03e-2),unprognostic (2.22e-2),unprognostic (1.06e-1),unprognostic (1.95e-1),unprognostic (3.03e-1),unprognostic (3.57e-2),unprognostic (1.57e-1),unprognostic (3.04e-1),unprognostic (8.94e-3),unprognostic (1.19e-1)
CTNNB1,"armadillo, beta-catenin, CTNNB",ENSG00000168036,Catenin beta 1,P35222,3,41194741-41260096,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins","Cell adhesion, Host-virus interaction, Neurogenesis, Transcription, Transcription regulation, Wnt signaling pathway",Activator,"Cancer-related genes, Disease variant, Intellectual disability",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,monocytes: 871.7,Cell type enhanced,Detected in all,,endothelial cell: 823.7,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB000108, CAB001950, HPA029159, HPA029160",Supported,,Enhanced,"Plasma membrane,Cell Junctions,Primary cilium,Basal body",,,NA,NA,,3200000,Cluster 33: Non-specific - ATP binding,Cluster 75: Ovary - Mixed function,Cluster 44: Non-specific - Mixed function,Cluster 9: Skin cancer - Melanin biosynthesis,Cluster 40: Monocytes & Neutrophils - Inflammatory signaling,443,Plasma membrane,"Cell Junctions, Primary cilium, Basal body","CAB000108: , CAB001950: , HPA029159: , HPA029160: ",unprognostic (1.79e-2),unprognostic (8.56e-2),unprognostic (1.15e-1),unprognostic (5.61e-3),unprognostic (3.56e-2),unprognostic (3.47e-1),unprognostic (1.20e-1),unprognostic (5.18e-2),unprognostic (3.77e-2),potential prognostic unfavorable (4.23e-4),validated prognostic favorable (6.88e-8),validated prognostic favorable (1.81e-5),unprognostic (3.52e-2),potential prognostic unfavorable (6.51e-4),unprognostic (1.47e-2),unprognostic (2.35e-1),unprognostic (1.78e-2),unprognostic (1.00e-1),unprognostic (2.01e-1),unprognostic (4.61e-2),unprognostic (8.64e-3),unprognostic (1.26e-2),unprognostic (2.00e-1),unprognostic (1.63e-1),unprognostic (3.63e-3),unprognostic (8.27e-2),unprognostic (2.22e-1),unprognostic (7.32e-3),unprognostic (2.73e-1),unprognostic (1.60e-1),unprognostic (4.10e-3)
CUX1,"CASP, CDP, CDP/Cut, CDP/Cux, CDP1, Clox, CUT, CUTL1, CUX, Cux/CDP, GOLIM6",ENSG00000257923,Cut like homeobox 1,"P39880, Q13948",7,101815904-102283958,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors","Transcription, Transcription regulation, Transport","Developmental protein, DNA-binding, Repressor","Cancer-related genes, Disease variant, Intellectual disability",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Neutrophils: 2269.5,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in all,,non-classical monocyte: 35.1,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Thyroid gland - Thyroid glandular cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA003277, HPA003317",Approved,,Supported,"Nucleoplasm,Golgi apparatus",,,NA,NA,,,Cluster 10: Non-specific - Membrane trafficking,Cluster 41: Striated muscle - Muscle contraction,Cluster 2: Neurons - Nucleosome,Cluster 39: Non-specific - Transcription,Cluster 48: Neutrophils - Phagocytosis & degranulation,22,"Nucleoplasm, Golgi apparatus",,"HPA003277: , HPA003317: ",unprognostic (3.37e-1),unprognostic (1.67e-2),unprognostic (3.29e-1),unprognostic (4.11e-3),unprognostic (1.10e-2),unprognostic (1.31e-1),unprognostic (1.64e-2),unprognostic (2.55e-1),unprognostic (5.17e-2),unprognostic (1.40e-2),potential prognostic favorable (4.91e-5),unprognostic (2.35e-1),unprognostic (1.71e-2),unprognostic (4.67e-1),unprognostic (4.14e-1),unprognostic (5.54e-2),unprognostic (5.71e-2),unprognostic (4.48e-2),unprognostic (2.38e-2),unprognostic (1.30e-3),unprognostic (5.74e-2),unprognostic (1.55e-1),unprognostic (1.22e-2),unprognostic (3.52e-1),unprognostic (5.12e-2),unprognostic (3.38e-1),unprognostic (3.02e-1),unprognostic (5.47e-2),unprognostic (2.75e-1),unprognostic (9.33e-3),unprognostic (9.37e-2)
CXCR4,"CD184, D2S201E, fusin, HM89, HSY3RR, LESTR, NPY3R, NPYR, NPYY3R",ENSG00000121966,C-X-C motif chemokine receptor 4,P61073,2,136114349-136119177,"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins, Transporters",Host-virus interaction,"G-protein coupled receptor, Host cell receptor for virus entry, Receptor, Transducer","Cancer-related genes, Disease variant, FDA approved drug targets",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,bone marrow: 1175.0;lymphoid tissue: 523.2,Cell type enhanced,Detected in many,,B-cells: 1506.7;cDC: 461.8;Innate lymphoid cells: 1589.7;Macrophages: 338.5;Monocyte progenitors: 374.5;monocytes: 309.5;Neutrophils: 1114.9;NK-cells: 959.7;pDCs: 456.8;Plasma cells: 333.1;T-cells: 1587.5;Thymocytes: 438.7,Cell type enriched,Detected in some,6,leukocyte: 200.7,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Group enriched,Detected in many,6,Leukemia: 190.2;lymphoma: 270.2;Myeloma: 151.1,"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Breast - T-cells, Colon - T-cells, Kidney - T-cells, Prostate - T-cells, Skin - T-cells, Spleen - B-cells (Spleen), Thyroid gland - T-cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,,,,,,,,NA,NA,,,Cluster 20: Non-specific - DNA binding,Cluster 15: Bone marrow - Innate immune response,Cluster 12: Non-specific - Vasculature,Cluster 46: Lymphoma - Humoral immune response,Cluster 87: B-cells - Adaptive immunity: Humoral response,15,,,,unprognostic (1.64e-2),unprognostic (1.41e-1),unprognostic (2.80e-1),unprognostic (8.28e-3),unprognostic (2.12e-1),unprognostic (1.77e-1),unprognostic (9.34e-3),unprognostic (2.36e-3),unprognostic (7.14e-3),unprognostic (6.67e-2),unprognostic (1.06e-1),unprognostic (9.64e-2),unprognostic (3.84e-2),unprognostic (2.90e-2),unprognostic (3.59e-1),unprognostic (5.95e-3),unprognostic (1.32e-1),unprognostic (2.09e-1),unprognostic (1.43e-1),unprognostic (2.69e-3),unprognostic (2.99e-1),unprognostic (2.23e-1),unprognostic (8.50e-2),unprognostic (1.34e-1),unprognostic (1.37e-2),unprognostic (5.13e-3),unprognostic (3.81e-1),unprognostic (1.11e-3),unprognostic (8.57e-2),unprognostic (1.74e-1),unprognostic (1.72e-1)
CYLD,"CYLD1, KIAA0849, USPL2",ENSG00000083799,CYLD lysine 63 deubiquitinase,Q9NQC7,16,50742050-50801935,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins","Cell cycle, Immunity, Innate immunity, Ubl conjugation pathway, Wnt signaling pathway","Hydrolase, Protease, Thiol protease","Amyotrophic lateral sclerosis, Cancer-related genes, Disease variant, Neurodegeneration, Tumor suppressor",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,bone marrow: 89.0,Cell type enhanced,Detected in many,,Neutrophils: 361.8,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Testis - Early spermatids, Testis - Spermatocytes",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB011713, HPA050095, HPA077163",Approved,,Supported,"Nucleoplasm,Primary cilium transition zone,Centriolar satellite,Basal body,Principal piece",,,Yes,No,,,Cluster 42: Non-specific - Vesicular transport,Cluster 44: Bone marrow - Nuclear processes,Cluster 38: Sub-cortical - Mixed function,Cluster 59: Leukemia - T-cell receptor,Cluster 82: Dendritic cells - Antigen presentation,141,Centriolar satellite,"Nucleoplasm, Primary cilium transition zone, Basal body, Principal piece","CAB011713: , HPA050095: , HPA077163: ",unprognostic (4.08e-2),unprognostic (2.28e-1),unprognostic (5.67e-3),unprognostic (1.24e-1),unprognostic (6.54e-2),unprognostic (6.35e-2),unprognostic (1.77e-1),unprognostic (2.53e-1),unprognostic (1.18e-1),unprognostic (5.58e-2),potential prognostic favorable (4.60e-4),unprognostic (6.53e-2),unprognostic (2.06e-1),unprognostic (7.95e-2),unprognostic (4.17e-3),unprognostic (1.87e-2),unprognostic (1.33e-1),unprognostic (6.64e-2),unprognostic (3.59e-1),unprognostic (7.34e-2),unprognostic (5.01e-3),unprognostic (1.55e-1),unprognostic (1.39e-2),unprognostic (2.06e-1),unprognostic (1.84e-2),unprognostic (1.25e-1),unprognostic (1.71e-1),unprognostic (8.86e-2),unprognostic (1.74e-1),unprognostic (7.56e-3),unprognostic (3.10e-1)
DAXX,DAP6,ENSG00000204209,Death domain associated protein,Q9UER7,6,33318558-33323016,"Cancer-related genes, Human disease related genes, Predicted intracellular proteins","Apoptosis, Host-virus interaction, Transcription, Transcription regulation","Chaperone, Chromatin regulator, Repressor",Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Decidual stromal cells: 60.2;Early primary spermatocytes: 48.7;Epididymal principal cells: 87.3,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB002224, HPA008736, HPA008797, CAB025546, HPA065779",Enhanced,,Enhanced,"Nucleoplasm,Nuclear bodies",,,NA,NA,,,Cluster 3: Non-specific - Nuclear processes,Cluster 68: Non-specific - Basic cellular processes,Cluster 27: Non-specific - Mixed function,Cluster 28: Non-specific - Nuclear processes,Cluster 30: Epididymal principal cells - Sperm storage microenvironment,204,"Nucleoplasm, Nuclear bodies",,"CAB002224: , CAB025546: , HPA008736: , HPA008797: , HPA065779: ",unprognostic (2.52e-1),unprognostic (7.50e-2),unprognostic (1.33e-1),unprognostic (9.31e-2),unprognostic (1.55e-1),unprognostic (2.93e-2),unprognostic (1.02e-2),unprognostic (1.41e-2),unprognostic (2.27e-1),unprognostic (4.06e-1),unprognostic (4.32e-2),unprognostic (1.10e-1),unprognostic (8.82e-2),unprognostic (2.15e-2),unprognostic (1.76e-3),unprognostic (1.59e-2),unprognostic (3.75e-1),unprognostic (1.29e-1),unprognostic (2.40e-2),unprognostic (6.53e-2),unprognostic (1.25e-1),unprognostic (5.08e-2),unprognostic (1.80e-2),unprognostic (2.82e-3),unprognostic (4.01e-3),unprognostic (1.68e-1),potential prognostic favorable (7.91e-4),unprognostic (2.08e-1),unprognostic (1.22e-2),potential prognostic unfavorable (1.58e-5),unprognostic (2.37e-1)
DCTN1,,ENSG00000204843,Dynactin subunit 1,Q14203,2,74361154-74392087,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins","Cell cycle, Cell division, Mitosis, Transport",,"Amyotrophic lateral sclerosis, Cancer-related genes, Neurodegeneration, Neuropathy, Parkinsonism",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Other brain neurons: 45.5,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Testis - Sertoli cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB009108, HPA034635, HPA069977, HPA071875",Approved,,Supported,"Microtubules,Cytokinetic bridge,Mitotic spindle,Primary cilium,Basal body,Acrosome,Perinuclear theca",,,Yes,No,,170000,Cluster 25: Non-specific - Unknown function,Cluster 25: Non-specific - Basic cellular processes,Cluster 52: Neurons & Synapses - Synaptic function,Cluster 26: Non-specific - Mitochondria & RNA binding,Cluster 98: Neurons - Neurotransmission & signaling,168,Microtubules,"Cytokinetic bridge, Mitotic spindle, Primary cilium, Basal body, Acrosome, Perinuclear theca","CAB009108: , HPA034635: , HPA069977: , HPA071875: ",unprognostic (2.93e-1),unprognostic (1.64e-1),unprognostic (4.44e-2),unprognostic (1.80e-2),unprognostic (8.75e-2),unprognostic (1.54e-1),unprognostic (2.89e-1),potential prognostic favorable (1.61e-4),unprognostic (1.51e-1),unprognostic (1.89e-1),validated prognostic favorable (4.45e-9),validated prognostic favorable (7.92e-4),unprognostic (3.22e-2),unprognostic (1.86e-2),unprognostic (3.09e-3),unprognostic (4.18e-1),unprognostic (1.43e-1),unprognostic (6.76e-2),unprognostic (3.15e-1),unprognostic (4.64e-3),unprognostic (3.61e-2),unprognostic (1.98e-1),unprognostic (5.06e-2),unprognostic (1.24e-1),unprognostic (5.28e-2),unprognostic (1.86e-1),unprognostic (2.04e-1),unprognostic (1.37e-1),unprognostic (2.41e-1),unprognostic (4.81e-2),unprognostic (1.21e-1)
DDB2,"DDBB, FLJ34321, UV-DDB2, XPE",ENSG00000134574,Damage specific DNA binding protein 2,Q92466,11,47214465-47239217,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins","DNA damage, DNA repair, Ubl conjugation pathway",DNA-binding,"Cancer-related genes, Disease variant, Xeroderma pigmentosum",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Adrenal cortex cells: 120.5,Cell type enhanced,Detected in all,,central nervous system macrophage: 79.6;leukocyte: 58.9,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adipose subcutaneous - Adipose progenitor cells, Skin - Keratinocyte (other)",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB025912, HPA058406",Enhanced,,Supported,"Nucleoplasm,Cell Junctions",,,NA,NA,,,Cluster 5: Non-specific - Cell proliferation,Cluster 58: Skin - Keratinization,Cluster 30: White matter - Myelination,Cluster 40: Non-specific - Unknown function,Cluster 26: Keratinocytes - Keratinization,82,"Nucleoplasm, Cell Junctions",,"CAB025912: , HPA058406: ",unprognostic (9.99e-2),unprognostic (6.00e-2),unprognostic (2.51e-1),unprognostic (1.60e-1),unprognostic (7.66e-2),unprognostic (2.21e-1),unprognostic (2.54e-2),potential prognostic unfavorable (3.82e-5),unprognostic (1.26e-1),unprognostic (2.11e-1),validated prognostic favorable (2.50e-10),validated prognostic favorable (1.22e-4),unprognostic (3.41e-3),unprognostic (5.18e-2),unprognostic (7.95e-2),unprognostic (9.16e-2),unprognostic (8.83e-2),unprognostic (1.45e-2),unprognostic (9.09e-2),unprognostic (2.63e-1),unprognostic (1.73e-2),unprognostic (4.63e-2),unprognostic (3.24e-2),unprognostic (8.30e-2),unprognostic (3.78e-1),unprognostic (1.91e-1),unprognostic (7.88e-2),unprognostic (1.38e-2),unprognostic (4.43e-2),unprognostic (1.23e-2),unprognostic (1.07e-1)
DDIT3,"CHOP, CHOP10, GADD153",ENSG00000175197,DNA damage inducible transcript 3,P35638,12,57516588-57521737,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors","Apoptosis, Cell cycle, Growth arrest, Stress response, Transcription, Transcription regulation, Unfolded protein response, Wnt signaling pathway","Activator, DNA-binding, Repressor","Cancer-related genes, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enriched,Detected in many,5,Epididymal principal cells: 3123.3,Low cell type specificity,Detected in all,,,Cancer enhanced,Detected in all,,Kidney Chromophobe (TCGA): 291.0,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in all,,neutrophil: 170.5,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Minor Salivary Gland - Minor salivary glandular cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA058416, HPA068416",Uncertain,,Supported,Nucleoplasm,,,No,No,,,Cluster 21: Neutrophils - Unknown function,Cluster 25: Non-specific - Basic cellular processes,Cluster 28: Oligodendrocytes - Mixed function,Cluster 13: Non-specific - Mixed function,Cluster 30: Epididymal principal cells - Sperm storage microenvironment,73,Nucleoplasm,,"HPA058416: , HPA068416: ",unprognostic (1.59e-1),unprognostic (6.69e-3),unprognostic (1.40e-1),unprognostic (2.68e-1),unprognostic (1.17e-2),unprognostic (2.38e-2),unprognostic (1.72e-2),unprognostic (9.47e-2),unprognostic (4.48e-2),unprognostic (3.79e-2),potential prognostic unfavorable (9.20e-6),unprognostic (6.97e-2),unprognostic (4.57e-2),potential prognostic unfavorable (7.09e-4),unprognostic (1.28e-1),unprognostic (3.62e-1),unprognostic (7.55e-2),unprognostic (1.14e-1),unprognostic (2.17e-1),unprognostic (2.36e-2),unprognostic (1.27e-1),unprognostic (6.76e-2),unprognostic (7.96e-3),unprognostic (9.13e-3),unprognostic (2.58e-1),unprognostic (1.64e-1),potential prognostic unfavorable (3.90e-5),unprognostic (2.69e-1),unprognostic (3.31e-1),unprognostic (1.46e-1),unprognostic (4.63e-2)
